id,description,address,type,total_likes,created_at,updated_at,deleted_at
C-5f4e3d2c1b,Lingkungan di sekitar kami tercemar limbah industri,Jalan Hijau No. 15,private,0,2024-06-06 14:30:00.000,2024-06-08 16:00:00.000,
C-5t6y7u8i9o0,Pendataan penduduk di daerah rawan bencana harus diperbarui,Jalan Rawan Bencana No. 2,private,0,2024-06-16 15:50:00.000,2024-06-19 16:55:00.000,
C-6a5b4c3d2e,Fasilitas kesehatan di daerah kami kurang memadai,Jalan Sehat Sejahtera No. 3,private,6,2024-05-19 14:50:00.000,2024-05-20 15:55:00.000,
C-7890poiuytre,Lingkungan kami sering terganggu oleh sampah plastik. Baunya tidak sedap dan mencemari lingkungan.,Jalan Hijau Indah No. 14,private,1,2024-06-20 12:40:00.000,2024-06-21 13:45:00.000,
C-81j9aK9280,"Saya ingin melaporkan kondisi toilet yang sangat kotor di Puskesmas Sentra Kesehatan Masyarakat di wilayah saya. Toilet umum di gedung ini sering kali tidak terawat dengan baik, dinding dan lantai kamar mandi penuh dengan noda dan kotoran, serta bau yang tidak sedap sangat mengganggu penggunaannya. Kondisi ini sangat mengkhawatirkan karena kebersihan toilet yang buruk dapat menyebabkan penyebaran penyakit di antara pengunjung dan staf Puskesmas. Saya berharap pihak terkait segera melakukan perbaikan dan meningkatkan standar kebersihan di fasilitas ini agar dapat memberikan pelayanan kesehatan yang lebih baik dan aman bagi semua orang yang datang ke Puskesmas.","Jl. Raya Pandeglang No. 123, Desa Cikupa, Kecamatan Labuan, Kabupaten Pandeglang, Provinsi Banten, 42264",public,4,2024-06-20 16:47:20.021,2024-06-20 14:12:40.952,
C-81jas92581,"Saya ingin melaporkan pelayanan yang kurang memadai di Kantor Dinas Kependudukan dan Pencatatan Sipil Kota Serang. Antrian untuk pengurusan KTP, KK, dan akta kelahiran sering kali sangat panjang, dengan waktu tunggu yang tidak menentu dan pelayanan yang lambat. Selain itu, fasilitas ruang tunggu sangat minim dan tidak nyaman, tidak tersedia kursi yang memadai untuk jumlah warga yang datang. Banyak warga yang harus menunggu di luar gedung tanpa perlindungan dari panas dan hujan. Saya berharap pihak terkait dapat meningkatkan efisiensi pelayanan dan memperbaiki fasilitas di kantor tersebut agar warga dapat dilayani dengan lebih cepat dan nyaman.","Jl. KH. Abdul Hadi No. 89, Kelurahan Lopang, Kecamatan Serang, Kota Serang, Provinsi Banten, 42111.",private,3,2024-06-20 16:47:20.021,2024-06-21 03:34:33.233,
C-8a708ab9d5,Kambing lepas di area Jl. Cilegon gon gon,Jl. Cilegon gon gon,private,0,2024-06-20 14:17:18.576,2024-06-20 14:17:18.576,
C-8f9e7d6c5b,Pengolahan sampah di area perumahan kami belum efektif,Jalan Bersih Indah No. 6,public,6,2024-05-19 14:50:00.000,2024-05-20 15:55:00.000,
C-8kshis9280,"Saya ingin melaporkan kurangnya fasilitas di SDN 05 Tangerang, yang sangat memprihatinkan. Ruang kelas yang ada saat ini sangat sempit dan tidak cukup untuk menampung jumlah siswa yang terus bertambah. Selain itu, banyak bangku dan meja yang sudah rusak dan belum diganti, sehingga membuat proses belajar mengajar menjadi tidak nyaman. Fasilitas pendukung seperti perpustakaan dan laboratorium juga sangat minim dan kurang terawat. Hal ini sangat mempengaruhi kualitas pendidikan dan kenyamanan belajar siswa. Saya berharap pihak terkait dapat segera memperbaiki dan menambah fasilitas yang dibutuhkan agar proses belajar mengajar dapat berjalan dengan lebih baik.","Jl. Raya Serpong No. 456, Desa Lengkong Karya, Kecamatan Serpong Utara, Kabupaten Tangerang, Provinsi Banten, 15310",private,2,2024-06-20 16:47:20.021,2024-06-20 16:47:20.021,
C-9876543210,Jalan utama kami butuh perbaikan karena sering tergenang air,Jalan Raya Barat No. 12,public,1,2024-06-03 13:20:00.000,2024-06-05 14:25:00.000,
C-9ijnhyg6tf,Infrastruktur jalan rusak perlu perbaikan segera,Jalan Raya Barat No. 8,public,6,2024-04-15 09:20:00.000,2024-04-18 10:45:00.000,
C-a1b2xzd4e5,Keamanan di kompleks perlu disempurnakan. Banyak pencurian terjadi akhir-akhir ini.,Jalan Kompleks Permai No. 2,public,1,2024-06-19 10:30:00.000,2024-06-20 11:35:00.000,
C-a1bxc3d4e5,Pendataan penduduk di desa kami belum lengkap,Jalan Pahlawan No. 5,private,1,2024-06-02 11:30:00.000,2024-06-03 09:45:00.000,
C-abc123def456,Fasilitas kesehatan perlu diperbanyak di daerah pedesaan,Jalan Sehat No. 7,private,0,2024-06-08 08:40:00.000,2024-06-11 09:45:00.000,
C-d965289620,untuk pemerintah setempat dimohon untuk segera menertibkan pengemis yang ada di sekitar jln bsd karena mengganggu aktivitas setempat dan dimohon agar dibawa ke kantor dinas terkait supaya diberi penanganan,"1600 Amphitheatre Pkwy Building 43, , Mountain View, 94043, United States",private,0,2024-06-20 15:21:04.405,2024-06-21 07:22:11.048,
C-dfghj32mnbvc,Ketersediaan dokter di puskesmas perlu ditingkatkan. Banyak warga yang tidak terlayani.,Jalan Dokter No. 24,public,1,2024-06-08 00:40:00.000,2024-06-09 01:45:00.000,
C-dfghjkjubvc,Ketersediaan dokter di puskesmas perlu ditingkatkan. Antriannya panjang dan waktu tunggunya lama.,Jalan Dokter No. 28,public,0,2024-06-17 18:10:00.000,2024-06-18 19:15:00.000,
C-dfghjklmnc,Infrastruktur jalan rusak parah setelah musim hujan. Perlu segera diperbaiki.,Jalan Maju Selatan No. 8,public,10,2024-06-01 10:30:00.000,2024-06-02 11:35:00.000,
C-dfghjznbvc,Fasilitas kesehatan perlu diperbanyak di daerah pedesaan. Banyak warga yang kesulitan berobat.,Jalan Sehat No. 14,public,0,2024-06-13 10:30:00.000,2024-06-14 11:35:00.000,
C-edcr37gt9hb,Transportasi malam hari sering terlambat,Jalan Malam No. 22,private,6,2024-04-14 11:10:00.000,2024-04-17 12:30:00.000,
C-edcrfvgt9hb,Transportasi malam hari sering terlambat,Jalan Malam No. 22,private,0,2024-06-14 11:10:00.000,2024-06-17 12:30:00.000,
C-edn9f1d4d1,Saya merasa pelayanan kesehatan di daerah ini kurang memadai,Jalan Merdeka No. 10,public,1,2024-06-01 10:15:00.000,2024-06-01 10:15:00.000,
C-f0e1d2c3b4,Keamanan di sekitar kompleks perlu diperketat,Jalan Hutan Raya No. 8,private,1,2024-06-04 15:45:00.000,2024-06-07 08:10:00.000,
C-f21323e45f6,Transportasi umum di pagi hari sangat padat. Seharusnya ditambah armadanya.,Jalan Pagi Cerah No. 15,public,3,2024-06-19 14:50:00.000,2024-06-20 15:55:00.000,
C-h6bvcxzlkjhgf,Pendataan penduduk di daerah rawan bencana harus diperbarui. Data lama sudah tidak akurat.,Jalan Rawan Bencana No. 8,private,1,2024-06-09 02:50:00.000,2024-06-10 03:55:00.000,
C-k6bvcxzlkjhgf,Data kependudukan harus diperbaharui secara berkala. Banyak data yang sudah tidak akurat.,Jalan Penduduk Timur No. 18,private,0,2024-06-14 12:40:00.000,2024-06-15 13:45:00.000,
C-m6bvcxzlkjhgf,Transportasi umum di sore hari sangat padat. Harus ada solusi untuk mengatasinya.,Jalan Ramai No. 22,private,1,2024-06-05 18:10:00.000,2024-06-06 19:15:00.000,
C-mnbvcxzlkjhgf,Keamanan di kompleks perlu ditingkatkan. Banyak pencurian terjadi akhir-akhir ini.,Jalan Kompleks Permai No. 8,private,0,2024-06-18 20:20:00.000,2024-06-19 21:25:00.000,
C-mqbvcxzlkjhgf,Kualitas pendidikan di sekolah kami perlu diperbaiki. Guru-gurunya kurang profesional.,Jalan Pendidikan No. 18,private,1,2024-06-02 12:40:00.000,2024-06-03 13:45:00.000,
C-poawqazsx,Kualitas pendidikan di sekolah kami perlu diperbaiki. Guru-gurunya kurang profesional.,Jalan Pendidikan No. 22,private,0,2024-06-16 16:00:00.000,2024-06-17 17:05:00.000,
C-poiuyt11xx,Keamanan di perumahan kami sering terjadi pencurian. Kami resah dengan hal ini.,Jalan Aman Damai No. 12,private,0,2024-06-12 08:20:00.000,2024-06-13 09:25:00.000,
C-poiuytrewqx,Sistem pendidikan butuh evaluasi mendalam. Banyak kurikulum yang tidak relevan dengan kebutuhan zaman.,Jalan Guru Baru No. 20,private,0,2024-06-11 06:10:00.000,2024-06-12 07:15:00.000,
C-poiuytrqazsx,Pendataan penduduk desa kami belum dilakukan. Kami ingin segera didata.,Jalan Desa Tertinggal No. 20,private,1,2024-06-07 22:30:00.000,2024-06-08 23:35:00.000,
C-porewqazsx,Keamanan di kompleks perlu ditingkatkan. Banyak pencurian terjadi akhir-akhir ini.,Jalan Kompleks Permai No. 4,private,1,2024-06-03 14:50:00.000,2024-06-04 15:55:00.000,
C-qazw7edcrfvgt,Transportasi malam hari sering terlambat. Hal ini mengganggu aktivitas warga.,Jalan Malam No. 28,public,1,2024-06-10 04:00:00.000,2024-06-11 05:05:00.000,
C-qazws32dcrfvgt,Lingkungan kami sering terganggu oleh sampah plastik. Baunya tidak sedap dan mencemari lingkungan.,Jalan Hijau Indah No. 22,public,6,2024-06-19 22:30:00.000,2024-06-20 23:35:00.000,
C-qazws4dcrfvgt,Infrastruktur jalan rusak parah setelah musim hujan. Perlu segera diperbaiki.,Jalan Maju Selatan No. 12,public,0,2024-06-15 14:50:00.000,2024-06-16 15:55:00.000,
C-qazwsxedc0r,Ketersediaan dokter di puskesmas perlu ditingkatkan,Jalan Dokter No. 11,public,0,2024-06-15 13:25:00.000,2024-06-18 14:40:00.000,
C-qazysxedcrfvgt,Akses ke puskesmas terdekat masih sulit. Jalannya rusak dan jauh.,Jalan Akses Sehat No. 16,public,1,2024-06-06 20:20:00.000,2024-06-07 21:25:00.000,
C-qwertyuiop1,Infrastruktur jalan rusak parah setelah musim hujan,Jalan Maju Selatan No. 4,private,0,2024-06-10 13:20:00.000,2024-06-13 14:15:00.000,
C-tgbnjmhy6e5,Keamanan di perumahan kami sering terjadi pencurian,Jalan Aman Indah No. 3,private,0,2024-06-12 18:00:00.000,2024-06-15 19:20:00.000,
C-wsxcvghk7j8,Masalah lingkungan sekitar sungai masih terabaikan,Jalan Sungai Jernih No. 18,public,0,2024-06-13 09:45:00.000,2024-06-16 10:55:00.000,
C-xyz987pqr654,Data kependudukan harus diperbaharui secara berkala,Jalan Penduduk Timur No. 9,public,0,2024-06-09 10:55:00.000,2024-06-12 12:00:00.000,
