id,complaint_id,status,message,created_at,updated_at,deleted_at
126,C-3hjklmnbvc,Verifikasi,Aduan anda telah diverifikasi oleh kami,2024-06-06 16:00:00.000,2024-06-06 17:05:00.000,
127,C-3hjklmnbvc,On Progress,Aduan anda sedang dalam proses penanganan,2024-06-07 16:00:00.000,2024-06-07 17:05:00.000,
128,C-m6bvcxzlkjhgf,Pending,Updated message on progress,2024-05-06 18:10:00.000,2024-05-06 19:15:00.000,
129,C-m6bvcxzlkjhgf,Verifikasi,Aduan anda telah diverifikasi oleh kami,2024-06-06 18:10:00.000,2024-06-06 19:15:00.000,
130,C-poiuytrqazsx,Pending,Updated message on progress,2024-06-07 22:30:00.000,2024-06-07 23:35:00.000,
131,C-poiuytrqazsx,Verifikasi,Aduan anda telah diverifikasi oleh kami,2024-06-08 22:30:00.000,2024-06-08 23:35:00.000,
132,C-dfghj32mnbvc,Pending,Updated message on progress,2024-06-08 00:40:00.000,2024-06-08 01:45:00.000,
133,C-dfghj32mnbvc,Verifikasi,Aduan anda telah diverifikasi oleh kami,2024-06-09 00:40:00.000,2024-06-09 01:45:00.000,
134,C-dfghj32mnbvc,On Progress,Aduan anda sedang dalam proses penanganan,2024-06-10 00:40:00.000,2024-06-10 01:45:00.000,
135,C-h6bvcxzlkjhgf,Pending,Updated message on progress,2024-06-09 02:50:00.000,2024-06-09 03:55:00.000,
136,C-h6bvcxzlkjhgf,Verifikasi,Aduan anda telah diverifikasi oleh kami,2024-06-09 02:50:00.000,2024-06-10 03:55:00.000,
137,C-h6bvcxzlkjhgf,On Progress,Aduan anda sedang dalam proses penanganan,2024-06-10 02:50:00.000,2024-06-11 03:55:00.000,
138,C-h6bvcxzlkjhgf,Selesai,Aduan anda telah selesai ditangani,2024-06-12 02:50:00.000,2024-06-13 03:55:00.000,
139,C-qazw7edcrfvgt,Pending,Updated message on progress,2024-06-10 04:00:00.000,2024-06-11 05:05:00.000,
140,C-poiuytrewqx,Pending,Updated message on progress,2024-06-11 06:10:00.000,2024-06-11 07:15:00.000,
141,C-poiuytrewqx,Verifikasi,Aduan anda telah diverifikasi oleh kami,2024-06-12 06:10:00.000,2024-06-13 07:15:00.000,
142,C-poiuyt11xx,Pending,Updated message on progress,2024-06-12 08:20:00.000,2024-06-12 09:25:00.000,
143,C-poiuyt11xx,Verifikasi,Aduan anda telah diverifikasi oleh kami,2024-06-13 08:20:00.000,2024-06-13 09:25:00.000,
144,C-poiuyt11xx,On Progress,Aduan anda sedang dalam proses penanganan,2024-06-14 08:20:00.000,2024-06-15 09:25:00.000,
145,C-dfghjznbvc,Pending,Updated message on progress,2024-06-13 10:30:00.000,2024-06-13 11:35:00.000,
146,C-dfghjznbvc,Verifikasi,Aduan anda telah diverifikasi oleh kami,2024-06-14 10:30:00.000,2024-06-15 11:35:00.000,
147,C-dfghjznbvc,On Progress,Aduan anda sedang dalam proses penanganan,2024-06-15 10:30:00.000,2024-06-18 11:35:00.000,
148,C-dfghjznbvc,Selesai,Aduan anda telah selesai ditangani,2024-06-19 10:30:00.000,2024-06-19 11:35:00.000,
149,C-k6bvcxzlkjhgf,Pending,Updated message on progress,2024-06-14 12:40:00.000,2024-06-15 13:45:00.000,
150,C-qazws4dcrfvgt,Pending,Updated message on progress,2024-06-15 14:50:00.000,2024-06-16 15:55:00.000,
151,C-qazws4dcrfvgt,Verifikasi,Aduan anda telah diverifikasi oleh kami,2024-06-17 14:50:00.000,2024-06-17 15:55:00.000,
152,C-poawqazsx,Pending,Updated message on progress,2024-06-16 16:00:00.000,2024-06-16 17:05:00.000,
153,C-poawqazsx,Verifikasi,Aduan anda telah diverifikasi oleh kami,2024-06-17 16:00:00.000,2024-06-18 17:05:00.000,
154,C-poawqazsx,On Progress,Aduan anda sedang dalam proses penanganan,2024-06-19 16:00:00.000,2024-06-19 17:05:00.000,
155,C-dfghjkjubvc,Pending,Updated message on progress,2024-06-17 18:10:00.000,2024-06-18 19:15:00.000,
156,C-dfghjkjubvc,Verifikasi,Aduan anda telah diverifikasi oleh kami,2024-06-18 18:10:00.000,2024-06-19 19:15:00.000,
157,C-dfghjkjubvc,On Progress,Aduan anda sedang dalam proses penanganan,2024-06-19 18:10:00.000,2024-06-20 19:15:00.000,
158,C-dfghjkjubvc,Selesai,Aduan anda telah selesai ditangani,2024-06-20 18:10:00.000,2024-06-21 19:15:00.000,
159,C-mnbvcxzlkjhgf,Pending,Updated message on progress,2024-06-18 20:20:00.000,2024-06-19 21:25:00.000,
160,C-2a3b4c5d6e,Pending,Updated message on progress,2024-05-17 14:50:00.000,2024-05-17 15:55:00.000,
161,C-2a3b4c5d6e,Verifikasi,Aduan anda telah diverifikasi oleh kami,2024-05-18 14:50:00.000,2024-05-18 15:55:00.000,
162,C-2a3b4c5d6e,On Progress,Aduan anda sedang dalam proses penanganan,2024-05-19 14:50:00.000,2024-05-20 15:55:00.000,
163,C-8f9e7d6c5b,Pending,Updated message on progress,2024-05-19 14:50:00.000,2024-05-20 15:55:00.000,
164,C-6a5b4c3d2e,Pending,Updated message on progress,2024-05-14 14:50:00.000,2024-05-14 15:55:00.000,
165,C-6a5b4c3d2e,Verifikasi,Aduan anda telah diverifikasi oleh kami,2024-05-15 14:50:00.000,2024-05-16 15:55:00.000,
166,C-6a5b4c3d2e,On Progress,Aduan anda sedang dalam proses penanganan,2024-05-17 14:50:00.000,2024-05-18 15:55:00.000,
167,C-6a5b4c3d2e,Selesai,Aduan anda telah selesai ditangani,2024-05-19 14:50:00.000,2024-05-20 15:55:00.000,
168,C-edcr37gt9hb,Pending,Updated message on progress,2024-04-10 11:10:00.000,2024-04-11 12:30:00.000,
169,C-edcr37gt9hb,Verifikasi,Aduan anda telah diverifikasi oleh kami,2024-04-12 11:10:00.000,2024-04-13 12:30:00.000,
170,C-edcr37gt9hb,On Progress,Aduan anda sedang dalam proses penanganan,2024-04-14 11:10:00.000,2024-04-17 12:30:00.000,
171,C-9ijnhyg6tf,Pending,Updated message on progress,2024-04-15 09:20:00.000,2024-04-18 10:45:00.000,
