user_id,complaint_id,complaint_process_id,admin_id,total_complaints,sum_verification,sum_onprogress,sum_resolved,sum_rejected,sum_deleted,sum_public,sum_private,process_time,user_rejected_complaints,user_resolved_complaints,last_complaints
15,C-poiuyt11xx,143,2,53,17,12,5,1,0,26,27,0.0,0,1,C-poiuyt11xx
15,C-poiuyt11xx,144,2,53,17,12,5,1,0,26,27,0.0,0,1,C-poiuyt11xx
16,C-mnbvcxzlkjhgf,159,3,53,17,12,5,1,0,26,27,0.0,0,0,C-porewqazsx
16,C-porewqazsx,124,2,53,17,12,5,1,0,26,27,0.0,0,0,C-porewqazsx
18,C-dfghj32mnbvc,132,1,53,17,12,5,1,0,26,27,0.0,0,0,C-dfghj32mnbvc
18,C-dfghj32mnbvc,133,1,53,17,12,5,1,0,26,27,0.0,0,0,C-dfghj32mnbvc
18,C-dfghj32mnbvc,134,1,53,17,12,5,1,0,26,27,0.0,0,0,C-dfghj32mnbvc
19,C-dfghjklmnc,122,2,53,17,12,5,1,0,26,27,0.0,0,0,C-qazws4dcrfvgt
19,C-qazws4dcrfvgt,150,1,53,17,12,5,1,0,26,27,0.0,0,0,C-qazws4dcrfvgt
19,C-qazws4dcrfvgt,151,2,53,17,12,5,1,0,26,27,0.0,0,0,C-qazws4dcrfvgt
20,C-m6bvcxzlkjhgf,128,4,53,17,12,5,1,0,26,27,0.0,0,0,C-m6bvcxzlkjhgf
20,C-m6bvcxzlkjhgf,129,4,53,17,12,5,1,0,26,27,0.0,0,0,C-m6bvcxzlkjhgf
21,C-dfghjznbvc,145,4,53,17,12,5,1,0,26,27,5.0,0,1,C-dfghjznbvc
21,C-dfghjznbvc,146,4,53,17,12,5,1,0,26,27,5.0,0,1,C-dfghjznbvc
21,C-dfghjznbvc,147,4,53,17,12,5,1,0,26,27,5.0,0,1,C-dfghjznbvc
21,C-dfghjznbvc,148,4,53,17,12,5,1,0,26,27,5.0,0,1,C-dfghjznbvc
23,C-3hjklmnbvc,125,1,53,17,12,5,1,0,26,27,0.0,0,0,C-qazws32dcrfvgt
23,C-3hjklmnbvc,126,1,53,17,12,5,1,0,26,27,0.0,0,0,C-qazws32dcrfvgt
23,C-3hjklmnbvc,127,1,53,17,12,5,1,0,26,27,0.0,0,0,C-qazws32dcrfvgt
24,C-h6bvcxzlkjhgf,135,1,53,17,12,5,1,0,26,27,3.0,0,1,C-h6bvcxzlkjhgf
24,C-h6bvcxzlkjhgf,136,1,53,17,12,5,1,0,26,27,3.0,0,1,C-h6bvcxzlkjhgf
24,C-h6bvcxzlkjhgf,137,1,53,17,12,5,1,0,26,27,3.0,0,1,C-h6bvcxzlkjhgf
24,C-h6bvcxzlkjhgf,138,1,53,17,12,5,1,0,26,27,3.0,0,1,C-h6bvcxzlkjhgf
25,C-mqbvcxzlkjhgf,123,1,53,17,12,5,1,0,26,27,0.0,0,0,C-poawqazsx
25,C-poawqazsx,152,3,53,17,12,5,1,0,26,27,0.0,0,0,C-poawqazsx
25,C-poawqazsx,153,3,53,17,12,5,1,0,26,27,0.0,0,0,C-poawqazsx
25,C-poawqazsx,154,3,53,17,12,5,1,0,26,27,0.0,0,0,C-poawqazsx
28,C-k6bvcxzlkjhgf,149,4,53,17,12,5,1,0,26,27,0.0,0,0,C-k6bvcxzlkjhgf
29,C-qazw7edcrfvgt,139,1,53,17,12,5,1,0,26,27,0.0,0,0,C-qazw7edcrfvgt
31,C-dfghjkjubvc,155,3,53,17,12,5,1,0,26,27,2.0,0,1,C-dfghjkjubvc
31,C-dfghjkjubvc,156,3,53,17,12,5,1,0,26,27,2.0,0,1,C-dfghjkjubvc
31,C-dfghjkjubvc,157,3,53,17,12,5,1,0,26,27,2.0,0,1,C-dfghjkjubvc
31,C-dfghjkjubvc,158,3,53,17,12,5,1,0,26,27,2.0,0,1,C-dfghjkjubvc
32,C-poiuytrqazsx,130,3,53,17,12,5,1,0,26,27,0.0,0,0,C-poiuytrqazsx
32,C-poiuytrqazsx,131,3,53,17,12,5,1,0,26,27,0.0,0,0,C-poiuytrqazsx
93,C-8f9e7d6c5b,163,1,53,17,12,5,1,0,26,27,0.0,0,0,C-8f9e7d6c5b
94,C-6a5b4c3d2e,164,1,53,17,12,5,1,0,26,27,4.0,0,1,C-6a5b4c3d2e
94,C-6a5b4c3d2e,165,1,53,17,12,5,1,0,26,27,4.0,0,1,C-6a5b4c3d2e
94,C-6a5b4c3d2e,166,1,53,17,12,5,1,0,26,27,4.0,0,1,C-6a5b4c3d2e
94,C-6a5b4c3d2e,167,1,53,17,12,5,1,0,26,27,4.0,0,1,C-6a5b4c3d2e
100,C-2a3b4c5d6e,160,1,53,17,12,5,1,0,26,27,0.0,0,0,C-2a3b4c5d6e
100,C-2a3b4c5d6e,161,1,53,17,12,5,1,0,26,27,0.0,0,0,C-2a3b4c5d6e
100,C-2a3b4c5d6e,162,1,53,17,12,5,1,0,26,27,0.0,0,0,C-2a3b4c5d6e
